Albergo,Indirizzo,Cap,Citta,Prov,Contatto,Stelle,Catena,Telefono,Web,Email,CamereSuite,PUNTEGGIO SU BOOKING,N Giudizi,FlagTerme,DoublePriceMin,FBLink
BOLOGNA,"Via Giuseppe Mazzini, 57",56125,Pisa,PI,NULL,3,,,http://hotelbologna.pisa.it/,info@hotelbologna.pisa.it,64,,,NULL,0,
Columbia,Corso Roma 19,51016,Montecatini Terme,PT,NULL,4,,02 3206 28093,https://www.hotelcolumbia.it/,*,64,,,NULL,79,
GRAND HOTEL E RIVIERA,"Viale Lungomare Pistelli, 59",55043,Camaiore,LU,NULL,4,,,http://www.grandhotelriviera.it/,*,64,,,NULL,0,
LE CERBAIE,"Loc. Cerbaia, 44",55011,Altopascio,LU,NULL,3,,,NULL,futures@tin.it,64,,,NULL,0,
MASSIMO D'AZEGLIO,"Corso Matteotti, 42",51016,Montecatini Terme,PT,NULL,3,,,http://www.hotelmassimodazeglio.it/,info@hotelmassimodazeglio.it,64,,,1,0,
MIRAMARE,"Via Marconi, 8",57012,Rosignano Marittimo - Castiglioncello,LI,NULL,3,,,NULL,,64,,,NULL,0,
MODERNO,"Via B. Peruzzi, 19",53100,Siena,SI,NULL,3,,,http://www.sienanet.it,moderno@sienanet.it,64,,,NULL,0,
PARK HOTEL NAPOLEONE,57037 - Elba - Portoferraio (LI),,Portoferraio,LI,NULL,4,,,NULL,parkhotelnapoleone@tiscali.it,64,,,NULL,0,
Villa Le Maschere,Via Nazionale 75,50031,Barberino di Mugello,FI,NULL,5,,,http://www.villalemaschere.it/,"assistenza@blastness.com,info@villalemaschere.it,info@golfpoggiodeimedici.com",64,,,NULL,238,
AMBROSIANO,"Corso Matteotti, 65",51016,Montecatini Terme,PT,NULL,3,,,http://www.ambrosianohotel.it,info@ambrosianohotel.it,65,,,1,0,
ANTICO BORGO I CANCELLI RESIDENCE,"Sallecchio I Cancelli, 19",50035,Palazzuolo Sul Senio,FI,NULL,3,,,http://www.icancelli.it,icancelli@icancelli.it,65,,,NULL,0,
COLUMBIA,"Corso Roma, 19",51016,Montecatini Terme,PT,NULL,4,Mariotti Hotels,05727O661,https://www.hotelcolumbia.it/,info@hotelcolumbia.it,65,,,1,0,
CORALLO,"Via Cavallotti, 116",51016,Montecatini Terme,PT,NULL,3,,057278288,http://www.golfhotelcorallo.it,info@golfhotelcorallo.it,65,,,1,0,
Hotel Posta,Via Ugo Foscolo 50,53042,Chianciano Terme,SI,NULL,3,,,http://www.htlposta.it/,*,65,,,NULL,75,
Minerva,Via Paolo Ingegnoli 31,53042,Chianciano Terme,SI,NULL,3,,,http://www.albergovillagaia.it/,info.villagaiahotel@gmail.com,65,,,NULL,94,
MINERVA,"Via P. Ingegnoli, 31",53042,Chianciano Terme,SI,NULL,3,,057864640,http://www.hermitagehotel.it/,info@hermitagehotel.it,65,,,1,0,
Parma e Oriente,Viale Cavallotti 135,51016,Montecatini Terme,PT,NULL,3,,0572 72135,http://www.hotelparmaeoriente.it/,info@hotelparmaeoriente.it,65,,,NULL,49,
Valdarno,Via Nello Traquandi 13-15,52025,Montevarchi,AR,NULL,4,,055 984198,http://www.hotelvaldarno.com/,info@hotelvaldarno.net,65,,,NULL,90,
AMBASCIATORI,"Viale Iv Novembre, 12",51016,Montecatini Terme,PT,NULL,4,,,http://www.ambasciatoripalace.it/,*,66,,,1,0,
BEST WESTERN HOTEL MAJESTIC,"Via Buozzi, 70",53042,Chianciano Terme,SI,NULL,4,,,http://www.fabahotels.it,majestic@fabahotels.it,66,,,1,0,
Calamidoro,Via del Tiglio 143,56030,Calcinaia,PI,NULL,4,,0587 297111,http://www.calamidoro.com/,calamidoro@calamidoro.com,66,,,NULL,69,
Italia,Via Cavour 67,53100,Siena,SI,NULL,3,,0577 41177,http://www.hotelitalia-siena.it/,--@leo,66,,,NULL,65,
LUNGARNO,"Borgo S. Jacopo, 14",50100,Firenze,FI,NULL,4,,,NULL,,66,,,NULL,0,
PARADISO AL MARE,"Via Machiavelli, 2",55042,Forte Dei Marmi,LU,NULL,3,,,http://www.sula.it,paradiso@sula.it,66,,,NULL,0,
Park Hotel Le Fonti,Via di Fontecorrenti 8,56048,Volterra,PI,NULL,4,,0588 81534,http://www.parkhotellefonti.com/,info@parkhotellefonti.com,66,,,NULL,78,
RECINA HOTEL,"Via Alcide de Gasperi, 32/F",62100,Macerata,MC,Giustozzi Luca,4,Gruppo Giustozzi Hotels,+39 0733 598639,https://www.gruppogiustozzihotels.it/it/,info@recinahotel.it,66,,,NULL,0,
Royal Palace,Viale Bicchierai 113,51016,Montecatini Terme,PT,NULL,4,,0572 70161,http://www.hotelroyalpalace.it/,info@gbhotel.it,66,,,NULL,55,
SANT'ANTONIO,"Viale Lombardia, 64",53042,Chianciano Terme,SI,NULL,2,,,NULL,,66,,,1,0,
Alexander Palme,Via Bruno Buozzi 76,53042,Chianciano Terme,SI,NULL,4,,0578 64010,http://alexanderpalme.it/hotel.html,info@alexanderpalme.it,67,,,NULL,70,
Atlantic Palace Hotel,Via Nazionale 12,50123,Firenze,FI,NULL,4,,055 213 031,http://www.atlanticpalace.it/,reservations@atlanticpalace.it,67,,,NULL,71.1,
CALAMIDORO,"Via Del Tiglio, 143",56030,Calcinaia,PI,NULL,4,SPACE HOTELS,,http://www.calamidoro.com,calamidodo@calamidoro.com,67,,,NULL,0,
Helvetia & Bristol,Via dei Pescioni 2,50123,Firenze,FI,NULL,5,,(415) 433-1430,https://www.starhotelscollezione.com/en/our-hotels/helvetia-and-bristol-florence/,*,67,,,NULL,181.5,
Le Cerbaie,Località Cerbaia 44 int.1,55011,Altopascio,LU,NULL,3,,0583 264400,https://www.lecerbaie.it/,info@lecerbaie.it,67,,,NULL,150,
Meridiana,Viale Don Giovanni Minzoni 25,50129,Firenze,FI,NULL,3,,055 576 552,http://www.meridiana-hotel.it/,info@meridiana-hotel.it,67,,,NULL,55.2,
MILLENIUM,"Viale Bicchierai, 82",51016,Montecatini Terme,PT,NULL,3,,,http://www.hotelmiro.eu/,info@hotelmiro.eu,67,,,1,0,
Paris,Via dei Banchi 2,50123,Firenze,FI,NULL,3,,055 280 281,http://www.parishotel.it/,reservations@parishotel.it,67,,,NULL,66.6,
ROYAL VICTORIA,"Lungarno Pacinotti, 12",56126,Pisa,PI,NULL,3,,,http://www.royalvictoria.it/,*,67,,,NULL,0,
Santa Croce in Fossabanda,Piazza Santa Croce 11,56125,Pisa,PI,NULL,3,,,NULL,,67,,,NULL,70,
ALBA HOTEL,"Viale Della Liberta', 288",53042,Chianciano Terme,SI,NULL,4,,+39057864300,http://www.albahotel.net/hotel.it.php,info@albahotel.net,68,,,1,0,
ATLANTICO PALACE HOTEL,"Via V. Della Liberta', 494",53042,Chianciano Terme,SI,NULL,4,,,http://www.hotelatlanticochianciano.it/,info@webmonkeysoftware.it,68,,,1,0,
AUGUSTUS,"Viale Morin, 169",55042,Forte Dei Marmi,LU,NULL,5,,,http://www.augustus-hotel.it/,info@augustus-hotel.it,68,,,NULL,0,
CASA FACI,"Via Ernesto Lombardo, 16",54037,Massa - Marina Di Massa,MS,NULL,1,,,NULL,,68,,,NULL,0,
DA VINCI,Viale Palmiro Togliatti,5053,Scarperia,FI,NULL,4,,,https://www.hotelda-vinci.it/,info@hotelda-vinci.it,68,,,NULL,0,
De la Ville,Piazza Antinori 1,50123,Firenze,FI,NULL,4,,055 2381805,http://www.hoteldelaville.it/,info@hoteldelaville.it,68,,,NULL,134.1,
EURO HOTEL,"V.le Europa, 4 6",56021,Cascina,PI,NULL,4,,050710494,http://eurohotelpisa.it/,info@eurohotelpisa.it,68,,,NULL,0,
Eurostars Toscana,Viale Europa 1135,55100,Lucca,LU,NULL,4,,,http://www.eurostarshotels.it/eurostars-toscana.html,*,68,,,NULL,59,
GIGLIO,"Viale Bicchierai, 99",51016,Montecatini Terme,PT,NULL,3,,,http://www.hotelgiglio.info,info@hotelgiglio.info,68,,,1,0,
GRAND HOTEL CAPITOL,Viale Della Liberta,53042,Chianciano Terme,SI,DANIELA,4,,057864681,http://www.capitolchianciano.it/index.php/it/,info@capitolchianciano.it,68,,,1,0,
Hotel Dei Cavalieri Pisa Pontedera,"Area di servizio di Gello Est - Superstrada Firenze-Pisa-Livorno, direzione Firenze",56025,Pontedera,PI,NULL,4,,,http://www.hotelpisavaldera.com/,booking@hotelpisavaldera.com,68,,,NULL,79,
MACERINA,"Via Macerina, 27",53042,Chianciano Terme,SI,NULL,3,,,NULL,,68,,,1,0,
Palace Hotel,Via Gioia 2,55049,Viareggio,LU,NULL,4,,0584 46134,https://www.palaceviareggio.com/,info@palaceviareggio.com,68,,,NULL,84,
PARIS,"Via Dei Banchi, 2",50123,Firenze,FI,NULL,3,Utell,,http://www.parishotel.it,info@parishotel.it,68,,,NULL,0,
RAFFAELLO,"Via Dei Monti, 3",53042,Chianciano Terme,SI,NULL,4,CHARME E RELAX,0578657000,http://www.hotelraffaello.si.it,hotel.raffaello@libero.it,68,,,1,0,
AC HOTEL LUCCA,"Viale Europa, 1135",55100,Lucca,LU,NULL,4,,,http://achotels.marriott.com/en/,aclucca@ac-hotels.com,69,,,NULL,0,
Bettoja Hotel Relais Certosa,Via di Colle Ramole 2,50124,Firenze,FI,NULL,4,,055 2048483,NULL,,69,,,NULL,84,
Castri,Piazza Indipendenza 7,50129,Firenze,FI,NULL,3,,055 496 412,http://www.palazzocastri.com/,welcome@palazzocastri.com,69,,,NULL,60,
Da Vinci,Viale Palmiro Togliatti 53,50059,Vinci,FI,NULL,4,,,http://www.hotelda-vinci.it/,info@hotelda-vinci.it,69,,,NULL,59,
La Cappuccina,Località la Cappuccina 46/A,53037,San Gimignano,SI,NULL,4,,0577 940381,http://www.lacappuccina.com/,a.ingoglia@uplink.it,69,,,NULL,140,
MASSIMO,"Via Calata Italia, 23",57037,Elba - Portoferraio,LI,NULL,3,,,https://www.elbahotelmassimo.it/,info@elbahotelmassimo.it,69,,,1,0,
Michelangelo,Viale Fedeli 9/11,51016,Montecatini Terme,PT,NULL,4,,0572 911 700,http://www.hotelmichelangelo.org/,info.estatefiesolana@gmail.com,69,,,NULL,90,
MICHELANGELO,"Viale Fedeli, 9",51016,Montecatini Terme,PT,,4,,0572 911700,http://www.hotelmichelangelo.org,info@hotelmichelangelo.org,69,,,1,0,
PARK HOTEL SIENA,"Via Di Marciano, 18",53100,Siena,SI,NULL,4,The Charming Hotel,,http://www.parkhotelsiena.it,info@parkhotelsiena.it,69,,,NULL,0,
Art Hotel Milano,Via Tiziano 15,59100,Prato,PO,NULL,4,,,http://www.arthotel-milano.it/,info@arthotel-milano.it,70,,,NULL,65,
ART HOTEL MILANO,"Via Tiziano, 15",59100,Prato,PO,NULL,3,,,https://www.ala.it/,hmilano@ala.it,70,,,NULL,0,
ASTOR,"Lungomare Giosue' Carducci, 54",55049,Viareggio,LU,NULL,4,Sina Hotels,058450301,https://www.sinahotels.com/en/h/sina-astor-viareggio/,sinahotels@sinahotels.it,70,,,NULL,0,
ATLANTICO,"Largo Belvedere, 26",56018,Tirrenia,PI,NULL,4,,,http://www.grandhotelcontinental.it/it/home,info@grandhotelcontinental.it,70,,,NULL,0,
BEST WESTERN HOTEL CAPPELLI - CROCE DI SAVOIA,"Viale Bicchierai, 139",51016,Montecatini Terme,PT,NULL,3,,,http://www.hotelcappelli.it,info@hotelcappelli.it,70,,,1,0,
Bologna,Via Mazzini 57,56125,Pisa,PI,NULL,4,,050 502120,http://www.hotelbologna.pisa.it/,info@hotelbologna.pisa.it,70,,,NULL,49,
BONCIANI,"Via Panzani, 17",50100,Firenze,FI,NULL,3,,,NULL,,70,,,NULL,0,
Boston,Viale Bicchierai 16,51016,Montecatini Terme,PT,NULL,4,,0572 70379,http://www.hotelboston.it/,info@hotelboston.it,70,,,NULL,49,
Casanova,S.S. 146 Località Casanova,53027,San Quirico d'Orcia,SI,NULL,3,,,http://www.residencecasanova.it/,info@residencecasanova.it,70,,,NULL,152,
CASTRI,"P.zza Indipendenza, 7",50129,Firenze,FI,,3,,055496412,http://www.besthotels.com/featured/hotelcastri.php,info@hotelcastri.com,70,,,NULL,0,
Excelsior,Via Cesare Battisti 1,54037,Massa,MS,NULL,4,,0585 8601,https://www.hotelexcelsior.it/,info@hotelexcelsior.it,70,,,NULL,135,
EXCELSIOR,"Via Cesare Battisti, 1",54037,Marina Di Massa,MS,NULL,4,,05858601,https://www.hotelexcelsior.it/,info@hotelexcelsior.it,70,,,NULL,0,
Giglio,Viale Bicchierai 99,51016,Montecatini Terme,PT,NULL,3,,0572 70356,http://www.hotelgiglio.info/,info@hotelgiglio.info,70,,,NULL,54,
GROTTA GIUSTI,"Via Grotta Giusti, 1411",51016,Monsummano Terme,PT,NULL,4,,,http://www.grottagiustispa.com/,info@grottagiusti.com,70,,,1,0,
LA PACE,"Via Gramsci - Gall. B, 14",56125,Pisa,PI,NULL,3,,,http://www.hotellapace.it,info@hotellapace.it,70,,,NULL,0,
MODERNO,"Viale Baccelli, 10",53042,Chianciano Terme,SI,NULL,4,,,NULL,htlmoderno@tiscalinet.it,70,,,1,0,
San Lorenzo e Santa Caterina,Via San Lorenzo 15/24,51017,Pescia,PT,NULL,3,,0572 408 340,http://www.rphotels.com/,*,70,,,NULL,80,
TETTUCCIO,"Viale Verdi, 74",51016,Montecatini Terme,PT,NULL,4,,,http://www.hoteltettuccio.it/,info@hoteltettuccio.it,70,,,1,0,
UNA Poggio dei Medici - Golf Resort,Via San Gavino 27,50038,Scarperia,FI,NULL,4,,,http://www.unapoggiodeimedici.com/,*,70,,,NULL,146,
UNA POGGIO DEI MEDICI - Golf Resort,"Via San Gavino, 27",50038,Scarperia,FI,Mariella Oliverio,4,UNA Hotels & Resorts,055 84350,http://www.unapoggiodeimedici.com/,*,70,,,NULL,0,
Villa Cappugi,Via di Collegigliato 45,51100,Pistoia,PT,NULL,4,,,http://www.hotelvillacappugi.com/,info@hotelvillacappugi.com,70,,,NULL,69,
BEST WESTERN PARK HOTEL CALIFORNIA,Via Aurelia Km 338 Loc. Madonna Dell' Acqua,56017,San Giuliano Terme,PI,NULL,4,,,http://www.parkhotelcalifornia.it/,*,71,,,1,0,
BORGO LA BAGNAIA,S. S. 223 Siena-grosseto Km 12,53010,San Rocco A Pilli,SI,NULL,5,,,NULL,,71,,,NULL,0,
CENTRO BENESSERE SPA DEUS,"Via Delle Piane, 35",53042,Chianciano Terme,SI,NULL,4,,,http://www.spadeus.it,info@spadeus.it,71,,,1,0,
La Primula,Viale Cerboni 1,57033,Marciana Marina,LI,NULL,3,,0565 99010,http://www.hotellaprimula.it/,info@hotellaprimula.it,71,,,NULL,48,
LA PRIMULA,"Viale Cerboni, 1",57030,Elba - Marciana Marina,LI,NULL,3,,,http://www.hotellaprimula.it/,info@hotellaprimula.it,71,,,NULL,0,
Leonardo da Vinci,Via Guido Monaco 12,50144,Firenze,FI,NULL,3,,055 357751,http://www.hotelleonardofirenze.it/,info@hotelleonardofirenze.it,71,,,NULL,62.1,
SANTA BARBARA,"Via Marlianese, 4",51016,Montecatini Terme,PT,NULL,3,,,http://www.rphotels.com/,*,71,,,1,0,
Adua & Regina di Saba,Viale Manzoni 46,51016,Montecatini Terme,PT,NULL,4,,0572 78134,http://www.hoteladua.it/,info@hoteladua.it,72,,,NULL,59,
ADUA & REGINA DI SABA WELLNESS AND BEAUTY,"Viale Manzoni, 46",51016,Montecatini Terme,PT,NULL,4,,057278134,http://www.hoteladua.it,info@hoteladua.it,72,,,1,0,
Charme Hotel,Via delle Badie 228,59100,Prato,PO,NULL,4,,,http://www.charmehotel.it/,info@charmehotel.it,72,,,NULL,80,
EUR,Viale Colombo 175,55043,Camaiore,LU,NULL,3,,0584 618 251,http://www.hoteleur.it/,info@hoteleur.it,72,,,NULL,120,
Fenice Palace,Via De' Martelli 10,50129,Firenze,FI,NULL,4,,055 289 942,http://www.hotelspadai.it/,info@hotelspadai.it,72,,,NULL,100,
"FENICE PALACE AL DUOMO """"","Via De Martelli, 10",50129,Firenze,FI,NULL,4,,055289942,http://www.hotelfenicepalace.it,info@hotelfenicepalace.it,72,,,NULL,0,
Grand Hotel Terme,Piazza Italia 8,53042,Chianciano Terme,SI,NULL,4,,0578 63255,http://www.grand-hotel-terme-chianciano.com/,ig-badge-view-sprite-24@2x.png,72,,,NULL,150,
Granduca,Via Senese 170,58100,Grosseto,GR,NULL,4,,,http://www.hotelgranduca.com/,MG_0817-780x540@2x.jpg,72,,,NULL,95,
GRANDUCA,"Via Senese, 170",58100,Grosseto,GR,NULL,3,,,http://www.hotelgranduca.com,info@hotelgranduca.com,72,,,1,0,
I CILIEGI,"Piazza Amendola, 4",50066,Reggello,FI,NULL,4,,,NULL,,72,,,NULL,0,
Isola Verde,Via San Giovanni 26,57033,Marciana Marina,LI,NULL,3,,,http://www.hotelisolaverde.it/,*,72,,,NULL,81,
PITTI PALACE,"Via Barbadori, 2",50100,Firenze,FI,NULL,3,,,NULL,,72,,,NULL,0,
SELECT,"Via Mascagni, 76",57034,Campo Nell'Elba,LI,NULL,4,,,https://www.elbaselect.it/,info@elbaselect.it,72,,,NULL,0,
VILLASANPAOLO,Strada Prov. Le Per Certaldo,53037,San Gimignano,SI,NULL,4,,0577955100,http://www.villasanpaolo.com,info@villasanpaolo.com,72,,,NULL,0,
Argentario Golf Resort & SPA,Via Acquedotto Leopoldino - Località Le Piane,58018,Monte Argentario,GR,NULL,5,,,http://www.argentariogolfresortspa.it/,info@argentarioresort.it,73,,,NULL,240,
BELVEDERE,"Via S. G. Gualberto, 28",50060,Reggello - Saltino,FI,NULL,3,,,NULL,,73,,,NULL,0,
Borgo San Luigi,Strada della Cerreta 7,53035,Monteriggioni,SI,NULL,4,,0577 301055,http://www.borgosanluigi.it/,"assistenza@blastness.com,info@borgosanluigi.it",73,,,NULL,70,
Continentale,Via P. Guido Monaco 7,52100,Arezzo,AR,NULL,3,,0575 20251,http://www.hotelcontinentale.com/,*,73,,,NULL,98,
DE LA VILLE,"Piazza Antinori, 1",50100,Firenze,FI,NULL,4,SPACE HOTELS,,http://www.hoteldelaville.it/,info@hoteldelaville.it,73,,,NULL,0,
Executive,Via Nazzareno Orlandi 32,53100,Siena,SI,NULL,4,,,http://www.executivehotelsiena.com/,info@executivehotelsiena.com,73,,,NULL,100,
Grand Hotel Bellavista Palace,Viale Fedeli 2,51016,Montecatini Terme,PT,NULL,5,,0572 78122,http://www.bellavistamontecatini.it/,info@bellavistamontecatini.it,73,,,NULL,120,
Nord Florence,Via Baracca 199/A,50127,Firenze,FI,NULL,4,,055 431151,http://www.chcflorence.it/,reservations@chcflorence.it,73,,,NULL,52,
NORD FLORENCE,"Via F. Baracca, 199 A",50127,Firenze,FI,,4,,,http://www.chcflorence.it/,info@nordflorence.it,73,,,NULL,0,
Park Hotel California,Via Aurelia 2,56017,San Giuliano Terme,PI,NULL,4,,,http://www.parkhotelcalifornia.it/,*,73,,,NULL,70,
Toscana Verde,Via Penna 2,52020,Laterina,AR,NULL,4,,,http://www.toscanaverde.com/,info@toscanaverde.com,73,,,NULL,68,
Bernini Palace by Baglioni Hotels Group,Piazza S. Firenze 29,50122,Firenze,FI,NULL,4,,055 288 621,http://hotelbernini.duetorrihotels.com/,info.hotelbernini@duetorrihotels.com,74,,,NULL,175,
Borgo Palace Hotel,Via Senese Aretina 80,52037,Sansepolcro,AR,NULL,4,,,http://www.borgopalace.it/,palace@borgopalace.it,74,,,NULL,100,
GALLERY HOTEL ART,"Vicolo Dell'Oro, 5",50123,Firenze,FI,NULL,4,,,https://www.lungarnocollection.com/gallery-hotel-art,reservations@lungarnocollection.com,74,,,NULL,0,
Grand Hotel Tettuccio,Viale Verdi 74,51016,Montecatini Terme,PT,NULL,4,,0572 78051,http://www.hoteltettuccio.it/,info@hoteltettuccio.it,74,,,NULL,59,
GRANDE ALBERGO LE FONTI,"Via V. Della Liberta', 523",53042,Chianciano Terme,SI,NULL,4,,,http://www.lefontigrandhotel.com/,info@lefontigrandhotel.com,74,,,1,0,
PARK HOTEL I LECCI,"Via Della Principessa, 116",57027,San Vincenzo,LI,NULL,4,,,http://www.parkhotelilecci.it/,bookinglecci@bluhotels.it,74,,,NULL,0,
BEST WESTERN HOTEL PALAZZO DEI PRIORI,"Via Di Montalbuccio, 31",53100,Siena,SI,NULL,4,,,http://hotel.palazzodeipriori.it,info@palazzodeipriori.it,75,,,NULL,0,
Castello Monastero,Monastero d'Ombrone 19,53019,Castelnuovo Berardenga,SI,NULL,4,,,http://www.castelmonastero.com/,privacyfvr@castelmonastero.com.,75,,,NULL,371,
EUR,"Viale Colombo, 175",55043,Lido Di Camaiore,LU,"Leonello,Verena,Ettore,Valentina.",3,,0584618251,http://www.hoteleur.it,info@hoteleur.it,75,,,NULL,0,
GRAND HOTEL EXCELSIOR,"Via Sant'Agnese, 6",53042,Chianciano Terme,SI,NULL,4,,,http://www.grandhotelexcelsior.it,direzione@grandhotelexcelsior.it,75,,,1,0,
MARINA 2,57034 - Campo Nell'Elba (LI),,Livorno,LI,NULL,3,,,http://www.hotelmarina2.it/,marina2@infoelba.it,75,,,NULL,0,
Berchielli,Lungarno Acciaiuoli 14,50123,Firenze,FI,NULL,4,,055 264 061,http://www.berchielli.it/,"assistenza@blastness.com,info@berchielli.it,s.i.s.trinitaspa@legalmail.it",76,,,NULL,119.99,
BERCHIELLI,"Lungarno Degli Acciaiuoli, 14",50123,Firenze,FI,NULL,4,,055264061,http://www.berchielli.it,info@berchielli.it,76,,,NULL,0,
BORGO,"Via Senese Aretina, 80",52037,Sansepolcro,AR,NULL,4,,,NULL,r.borgopalace@tin.it,76,,,NULL,0,
CONTINENTALE,"Piazza Guido Monaco, 7",52100,Arezzo,AR,,3,,057520251,http://www.hotelcontinentale.com,prenotazioni@hotelcontinentale.com,76,,,0,0,
Desirée,Spiaggia di Spartaia,57030,Marciana,LI,NULL,4,,0565 907 311,http://www.desireehotel.it/,info@desireehotel.it,76,,,NULL,194,
Fabricia,Località Magazzini - Isola d'Elba,57037,Portoferraio,LI,NULL,4,,0565 933 181,https://www.hotelfabricia.com/,info@hotelfabricia.com,76,,,NULL,120,
Giappone Inn Parking Hotel,Via Grande 65,57123,Livorno,LI,NULL,3,,,http://www.hotellivorno.it/,hotelgiappone@hotellivorno.com,76,,,NULL,112,
LE ACACIE,Naregno,57031,Elba - Capoliveri - Naregno,LI,NULL,3,,,http://www.acacie.it,acacie@acacie.it,76,,,NULL,0,
Minerva Palace,Via Cavour 14,51016,Montecatini Terme,PT,NULL,4,,0572 904 406,http://www.hotelminervapalace.it/,info@hotelminervapalace.it,76,,,NULL,85,
MINERVA PALACE,"Via Cavour, 14",51016,Montecatini Terme,PT,NULL,4,,,NULL,minervapalace@tin.it,76,,,1,0,
Astor - A Sina Hotel,Lungomare Carducci 54,55049,Viareggio,LU,NULL,4,,,https://www.sinahotels.com/en/h/sina-astor-viareggio/?utm_source=google&utm_medium=local&utm_campaig,sina.booking@sinahotels.com,77,,,NULL,99,
Grand Hotel Golf,Via dell'Edera 29,56018,Pisa,PI,NULL,4,,050 957 018,http://www.golf.hotel.pisa.it/,reception@grandhotelgolf.it,77,,,NULL,64,
GRAND HOTEL GOLF,"Via Dell'Edera, 29",56018,Tirrenia,PI,NULL,4,,,http://www.grandhotelgolf.it,info@grandhotelgolf.it,77,,,NULL,0,
Kraft,Via Solferino 2,50123,Firenze,FI,NULL,4,,055 284 273,http://www.krafthotel.it/,"assistenza@blastness.com,info@krafthotel.it",77,,,NULL,89.1,
KRAFT,"Via Solferino, 2",50100,Firenze,FI,NULL,4,,,NULL,,77,,,NULL,0,
LE SORGENTI,"Via Baccelli, 42",53042,Chianciano Terme,SI,NULL,3,,,NULL,albergolesorgenti@tiscalinet.it,77,,,1,0,
MARRANI,"Via Faentina, 128",50030,Borgo San Lorenzo - Ronta,FI,NULL,3,,,NULL,,77,,,NULL,0,
BARBERINO,"Via Don Minzoni, 55",50031,Barberino Di Mugello,FI,NULL,3,,,http://www.hotelbarberino.it,info@hotelbarberino.it,78,,,NULL,0,
BEST WESTERN HOTEL PRESIDENT,"Via Simintendi, 20",59100,Prato,PO,NULL,4,,,NULL,,78,,,NULL,0,
DESIREE',Lido Di Spartaia,57030,Procchio,LI,NULL,4,,,http://www.desireehotel.it/,info@htdesiree.it,78,,,NULL,0,
DOMUS LAETITIAE,Frazione Frontignano,62039,Ussita,MC,NULL,2,,,http://www.domuslaetitiae.it,info@domuslaetitiae.it,78,,,NULL,0,
DU PARK ET REGINA,"Viale Diaz, 8",51016,Montecatini Terme,PT,NULL,4,,,http://www.regina-hotel.it,info@regina-hotel.it,78,,,1,0,
GRAND HOTEL PORTA ROSSA,"Via Porta Rossa, 19",50123,Firenze,FI,NULL,3,,055287551,http://www.hotelportarossa.it,info@hotelportarossa.it,78,,,NULL,0,
IRMA,"Via Della Liberta', 302",53042,Chianciano Terme,SI,NULL,3,,,NULL,,78,,,1,0,
Le Acacie,Spiaggia di Naregno,57031,Capoliveri,LI,NULL,4,,,http://www.acacie.it/,info@acacie.it,78,,,NULL,126,
President,Via Simintendi 20,59100,Prato,PO,NULL,4,,0574 30251,http://www.hotelpresidentprato.com/,bandiera_it-150x150@2x.jpg,78,,,NULL,67,
PRESIDENT,"Via Baccelli, 260",53042,Chianciano Terme,SI,NULL,3,,,NULL,,78,,,1,0,
Villasanpaolo Hotel,Strada Provinciale per Certaldo,53037,San Gimignano,SI,NULL,4,,0577 955 100,http://www.villasanpaolo.com/,info@villasanpaolo.com,78,,,NULL,167,
AC Arezzo,Via Einstein 4 - Località Pratacci,52100,Arezzo,AR,NULL,4,,,http://www.marriott.com/hotels/travel/qzoar-ac-hotel-arezzo/,*,79,,,NULL,75,
AC HOTEL,"Via Einstein, 4",52100,Arezzo,AR,NULL,4,,,http://achotels.marriott.com/en/,arezzo@ac-hotels.com,79,,,NULL,0,
Grand Hotel & Riviera,Lungomare Pistelli 59,55043,Camaiore,LU,NULL,4,,(415) 284-4000,http://www.grandhotelriviera.it/,*,79,,,NULL,190,
STELLA MARINA,"Viale Della Vittoria, 159",57023,Cecina - Cecina Mare,LI,NULL,3,,,http://www.hotel-stella-marina.it,info@hotel-stella-marina.it,79,,,NULL,0,
Versilia Holidays,Via Giambattista Vico,55042,Forte dei Marmi,LU,NULL,4,,0584 787100,http://versiliaholidays.it/,info@versiliaholidays.it,79,,,NULL,69,
VERSILIA HOLIDAYS,"Via Giovan Battista Vico, 142",55042,Forte Dei Marmi,LU,NULL,4,,,http://www.unahotelfortedeimarmi.it/,info@hotelcoluccini.it,79,,,NULL,0,
Alcide,Via Marconi 67/A,53036,Poggibonsi,SI,NULL,3,,0577 936196,http://www.hotelalcide.com/it/,info@hotelalcide.com,80,,,NULL,70,
Argentario Osa Residence,Strada Statale Aurelia km 156 - Località Osa,58010,Orbetello,GR,NULL,3,,,http://www.argentariosavillage.com/,info@argentariosavillage.com,80,,,NULL,100,
B&H Hotels Diplomat,Via Luigi Alamanni 9,50123,Firenze,FI,NULL,4,,,http://www.hoteldiplomat.net/,*,80,,,NULL,19,
Corona d'Italia,Via Nazionale 14,50123,Firenze,FI,NULL,3,,055 261 501,http://www.hotelcoronaditalia.com/,info@hotelcoronaditalia.com,80,,,NULL,64,
CORONA D'ITALIA,"Via Nazionale, 14",50100,Firenze,FI,NULL,3,,,NULL,corona@italyhotel.com,80,,,NULL,0,
Datini,Viale Marconi 80,59100,Prato,PO,NULL,4,,,http://www.hoteldatini.com/,info@hoteldatini.com,80,,,NULL,72,
DATINI,"Viale Guglielmo Marconi, 80",59100,Prato,PO,NULL,4,,,http://www.hoteldatini.com,info@hoteldatini.com,80,,,NULL,0,
