REGIONE,categoria B,Azienda,Via,Città,Provincia,STELLE,sito,E-mail,Note
Emilia Romagna,,Elite,Via Santa Chiara 6,CATTOLICA,RN,,,hotel.elite@adriatic.net,
Emilia Romagna,,Re Enzo,Via Santa Croce 26,BOLOGNA,BO,,,reenzo.bo@bestwestern.it,
Emilia Romagna,,Locanda Solarola,Via Santa Croce 5/B,CASTEL GUELFO DI BOLOGNA,BO,,,solarola@fastmail.it,
Emilia Romagna,,Palazzo Loup,Via Santa Margherita 21,LOIANO,BO,,,info@palazzo-loup.it,
Emilia Romagna,,Villa Karen,Via Santa Margherita Ligure 10,RIMINI - BELLARIVA,RN,,,hotelemiliani@interfree.it,
Emilia Romagna,,Wilma,Via Santa Margherita Ligure 15,RIMINI - BELLARIVA,RN,,,info@albergowilma.it,
Emilia Romagna,,Atlantic,Via Sardegna 28,MISANO ADRIATICO,RN,,,info@atlanticriviera.com,
Emilia Romagna,,Aquila d'Oro,Via Sardegna 29,MISANO ADRIATICO,RN,,,info@aquiladorohotel.it,
Emilia Romagna,,Baltic,Via Sardegna 8,MISANO ADRIATICO,RN,,,info@balticmisano.it,
Emilia Romagna,,Mediterraneo,Via Sarsina 11,RAVENNA - LIDO DI SAVIO,RA,,,info@hotel-mediterraneo.com,
Emilia Romagna,,Pacific,Via Sarsina 29-Rivazzurra,RIMINI,RN,,,info@hotelpacific.net,
Emilia Romagna,,Arda,Via Scapuzzi 35,FIORENZUOLA D'ARDA,PC,,,arda-hotel@libero.it,
Emilia Romagna,,AC Hotel Bologna,Via Sebastiano Serlio 28,BOLOGNA,BO,,,acbologna@ac-hotels.com,
Emilia Romagna,,Le Boccede,Via Secchiello 34,VILLA MINOZZO,RE,,,info@leboccede.it,
Emilia Romagna,,Selice,Via Selice 96,CONSELICE,RA,,,lineaombra@libero.it,
Emilia Romagna,,Star City Hotel,Via Serrabella 1,PIANORO - RASTIGNANO,BO,,,starcityhotel@libero.it,
Emilia Romagna,,Lina,Via Sicilia 16,MISANO ADRIATICO,RN,,,info@hotellina.com,
Emilia Romagna,,Majorca,Via Sicilia 39,MISANO ADRIATICO,RN,,,info@hotel-majorca.com,
Emilia Romagna,,Olimpic,Via Sicilia 7,MISANO ADRIATICO,RN,,,olympic@giavoluccihotels.it,
Emilia Romagna,,Nettuno,Via Sicilia 9,MISANO ADRIATICO,RN,,,info@nettunomisano.com,
Emilia Romagna,,Till,Via Siracusa 10-Marebello,RIMINI,RN,,,till@hoteltill.com,
Emilia Romagna,,Gabriella,Via Sirte 3-Torre Pedrera,RIMINI,RN,,,hotelgabriella@iper.net,
Emilia Romagna,,Aros,Via Sollum 11-Torre Pedrera,RIMINI,RN,,,info@hotelaros.it,
Emilia Romagna,,Villa Lauretta,Via Spalato 8-Località Bellaria,BELLARIA IGEA MARINA,RN,,,info@hotelvillalauretta.it,
Emilia Romagna,,La Perla,Via Spalato 9-Località Bellaria,BELLARIA IGEA MARINA,RN,,,info@laperlahotel.it,
Emilia Romagna,,Camping Villa Adria,"Via Spallazzi, 30",Ravenna,RA,,http://www.camping.it/italy/emiliaromagna/adria/,adria@camping.it,
Emilia Romagna,,Pineta,Via Spezia 109,COLLECCHIO,PR,,,info@residencepineta.it,
Emilia Romagna,,Apollo,Via Spina 3,RIMINI - VISERBELLA,RN,,,info@apollohotel.it,
Emilia Romagna,,Maxim,Via Stalingrado 152,BOLOGNA,BO,,,info@hotel-maxim.com,
Emilia Romagna,,Fiera,Via Stalingrado 82,BOLOGNA,BO,,,info@hotel-fiera.com,
Emilia Romagna,,Tre Torri,Via Statale 225,MEDOLLA,MO,,,hotel@hoteltretorri.com,
Emilia Romagna,,Corsini,Via Statale 36,LIZZANO IN BELVEDERE - ROCCA CORNETA,BO,,,info@hotelcorsini.com,
Emilia Romagna,,Cimone,Via Statale 7/9,RIOLUNATO,MO,,,libero@cimone.it,
Emilia Romagna,,Capriolo,Via Statale Ovest 28,SESTOLA,MO,,,info@hotel-capriolo.it,
Emilia Romagna,,Michelangelo,Via Stazio 7,BELLARIA IGEA MARINA,RN,,,michelangelo@tin.it,
Emilia Romagna,,metha hotel group,Via Stiria,Rimini,RN,,,annalisa.rossi@metha.com,
Emilia Romagna,,Corticella,Via Stoppato 31,BOLOGNA,BO,,,info@hotelcorticella.com,
Emilia Romagna,,Pieve Rossa,Via Strada Vecchia 13,BAGNOLO IN PIANO - PIEVE ROSSA,RE,,,info@pieverossa.it,
Emilia Romagna,,Tiffany's,Via Svizzera 3,CATTOLICA,RN,,,info@hoteltiffany.com,
Emilia Romagna,,Bruna,Via Svolta 20,LIZZANO IN BELVEDERE,BO,,,info@hotelbruna.it,
Emilia Romagna,,Ricordo,Via Tabiano 39,SALSOMAGGIORE TERME - TABIANO BAGNI,PR,,,info@hotelricordoduparc.it,
Emilia Romagna,,Chris,Via Tacito 10,BELLARIA IGEA MARINA,RN,,,info@chrishotel.com,
Emilia Romagna,,Liliana,Via Tacito 12,BELLARIA IGEA MARINA,RN,,,info@lilianamediterraneo.com,
Emilia Romagna,,Bristol,Via Tavoni 952,SAVIGNANO SUL PANARO - FORMICA,MO,,,flaviobal@tiscali.it,
Emilia Romagna,,Golf Hotel San Valentino,Via Telarolo 12,CASTELLARANO - SAN VALENTINO,RE,,,info@sanvalentino.it,
Emilia Romagna,,Neda,"Via Tenda, 2/a ",Rimini,RN,,,albergo.neda@libero.it,
Emilia Romagna,,La Suite,Via Termanini 3,BAZZANO,BO,,,info@lasuite.it,
Emilia Romagna,,Ducale,Via Tevere 10-Località Bellaria,BELLARIA IGEA MARINA,RN,,,ducale@libero.it,
Emilia Romagna,,Monte Fumaiolo,Via Tevere 26,VERGHERETO - BALZE,FC,,,info@hotelmontefumaiolo.it,
Emilia Romagna,,Capitol,Via Tevere 8-Località Bellaria,BELLARIA IGEA MARINA,RN,,,hcapitol.bellaria@libero.it,
Emilia Romagna,,Villa Franca,Via Tibullo 16,BELLARIA IGEA MARINA,RN,,,info@hotelfranca.com,
Emilia Romagna,,Missouri,Via Tibullo 28,BELLARIA IGEA MARINA,RN,,,info@hotelmissouri.net,
Emilia Romagna,,Diana,Via Tibullo 34,BELLARIA IGEA MARINA,RN,,,diana@hgshotel.com,
Emilia Romagna,,Metropolitan,Via Tibullo 60,BELLARIA IGEA MARINA,RN,,,metropolitan@bianchihotels.com,
Emilia Romagna,,Piccolo Hotel,Via Tibullo 84,BELLARIA IGEA MARINA,RN,,,info@piccolo-hotel.com,
Emilia Romagna,,Nevada,Via Tibullo 92,BELLARIA IGEA MARINA,RN,,,info@hotelnevada.net,
Emilia Romagna,,Houston,Via Timavo 3,RIMINI - RIVABELLA,RN,,,info@hotelhouston.it,
Emilia Romagna,,Nova Hotel,Via Tirelli 9,REGGIO EMILIA - SESSO,RE,,,info@novahotel.it,
Emilia Romagna,,Manuel,Via Tito Livio 3,BELLARIA IGEA MARINA,RN,,,hotel.manuel@libero.it,
Emilia Romagna,,Sun Hotel,Via Togliatti 1,RUBIERA,RE,,,sunhotel@libero.it,
Emilia Romagna,,Punta Nord,Via Tolemaide 4-Torre Pedrera,RIMINI,RN,,,info@hotelpuntanord.it,
Emilia Romagna,,Ombretta,Via Tolmetta 11-Torre Pedrera,RIMINI,RN,,,info@hsanmarco.it,
Emilia Romagna,,San Marco Torre Pedrera,Via Tolmetta 18-Torre Pedrera,RIMINI,RN,,,info@hsanmarco.com,
Emilia Romagna,,Buona Fortuna,Via Tombesi 12-Località Bellaria,BELLARIA IGEA MARINA,RN,,,info@hotelbuonafortuna.com,
Emilia Romagna,,Villa Castellucci,Via Tombesi 7-Località Bellaria,BELLARIA IGEA MARINA,RN,,,info@hotelcastellucci.com,
Emilia Romagna,,Maxim's,Via Tombesi 8-Località Bellaria,BELLARIA IGEA MARINA,RN,,,hmaxims@libero.it,
Emilia Romagna,,Villa Dina,Via Tonini 49-San Giuliano,RIMINI,RN,,,v.dina@jumpy.it,
Emilia Romagna,,Akropolis,Via Torelli 19,RIMINI - BELLARIVA,RN,,,akropolis@iper.net,
Emilia Romagna,,Liberty,Via Torino 55,RICCIONE,RN,,,info@hotelliberty.com,
Emilia Romagna,,Granada,Via Torino 6,CATTOLICA,RN,,,granada@contiluciana.191.it,
Emilia Romagna,,Golf,Via Torquato Tasso 175,RICCIONE,RN,,,golfhotel@jumpy.it,
Emilia Romagna,,Niagara,Via Torquato Tasso 40,RICCIONE,RN,,,info@hotelniagara-riccione.it,
Emilia Romagna,,Della Torre,Via Torre 73-Località Bellaria,BELLARIA IGEA MARINA,RN,,,hoteltorre@libero.it,
Emilia Romagna,,Serenissima,Via Torricelli 19,CESENATICO - VILLAMARINA,FC,,,info@hotelserenissima.com,
Emilia Romagna,,Laika,Via Toscanelli 1,RIMINI - RIVABELLA,RN,,,hotellaika@email.it,
Emilia Romagna,,Costa del Sole,Via Toscanelli 1/A,RIMINI - RIVABELLA,RN,,,mantu@infohotel.it,
Emilia Romagna,,Hotel Crown,Via Toscanelli 108,RIMINI - VISERBA,RN,,,info@hotelcrown.it,
Emilia Romagna,,Viserba,Via Toscanelli 146,RIMINI - VISERBA,RN,,,hotelviserba@libero.it,
Emilia Romagna,,Amba,Via Toscanelli 148,RIMINI - VISERBA,RN,,,info@hotelamba.com,
Emilia Romagna,,Caesar Paladium,Via Toscanelli 15,RIMINI - RIVABELLA,RN,,,info@hotelcaesarpaladium.it,
Emilia Romagna,,Imperial Beach,Via Toscanelli 19,RIMINI - RIVABELLA,RN,,,info@imperialbeach.it,
Emilia Romagna,,Driade,Via Toscanelli 25,RIMINI - RIVABELLA,RN,,,info@hoteldriade.it,
Emilia Romagna,,Alexander,Via Toscanelli 38,RIMINI - RIVABELLA,RN,,,hotelalexander@yahoo.com,
Emilia Romagna,,Sara,Via Toscanelli 44,RIMINI - RIVABELLA,RN,,,info@hotelsararimini.com,
Emilia Romagna,,Colombo,Via Toscanelli 46,RIMINI - RIVABELLA,RN,,,info@hotelcolombo.net,
Emilia Romagna,,Iones,Via Toscanelli 7,RIMINI - RIVABELLA,RN,,,info@hoteliones.it,
Emilia Romagna,,L. & V.,Via Toscanelli 78,RIMINI - RIVABELLA,RN,,,info@hotel-lev.it,
Emilia Romagna,,Gabbiano,Via Toscanelli 86,RIMINI,RN,,,hotelgabbiano2003@libero.it,
Emilia Romagna,,Minerva,Via Toscanini 2,GATTEO - GATTEO A MARE,FC,,,info@hotelminerva.net,
Emilia Romagna,,Fabrizio,Via Tozzi 5-Località Marina Centro,RIMINI,RN,,,hfabrizio@rimini.com,
Emilia Romagna,,Globus City,Via Traiano Imperatore 4,FORLI',FC,,,info@hotelglobus.it,
Emilia Romagna,,Veliero,Via Trapani 18-Rivazzurra,RIMINI,RN,,,info@hotelveliero.it,
Emilia Romagna,,Corona,Via Trapani 4-Rivazzurra,RIMINI,RN,,,hotelcorona@mareideavacanze.it,
Emilia Romagna,,Dear,Via Trapani 6-Rivazzurra,RIMINI,RN,,,info@hoteldear.it,
Emilia Romagna,,Adele,Via Trau 4-Località Bellaria,BELLARIA IGEA MARINA,RN,,,info@adelehotel.com,
Emilia Romagna,,Marconi,Via Traversa di Pianura 2/C,BENTIVOGLIO,BO,,,info@marconihotels.com,
Emilia Romagna,,Primula,Via Trento 12-Località Marina Centro,RIMINI,RN,,,newwprimula@libero.it,
Emilia Romagna,,Giuliana,Via Trento 15,GATTEO - GATTEO A MARE,FC,,,info@giulianahotel.com,
Emilia Romagna,,Diamante,Via Trento 47,CATTOLICA,RN,,,info@hdiamante.it,
Emilia Romagna,,Astoria Executive Hotel,Via Trento 9,PARMA,PR,,,info@piuhotels.com,
Emilia Romagna,,Sans Souci,Via Trento e Trieste 38,RICCIONE,RN,,,info@hotelsanssouci.it,
Emilia Romagna,,Anna,Via Trento e Trieste 48,RICCIONE,RN,,,hanna@guest.net,
Emilia Romagna,,Las Vegas,Via Trento e Trieste 87,RICCIONE,RN,,,lasvegas@guest.net,
Emilia Romagna,,Modenese,Via Trento Trieste 92,RICCIONE,RN,,,hotelmodenese@libero.it,
Emilia Romagna,,San Francisco,Via Trieste 19,GATTEO - GATTEO A MARE,FC,,,info@hsanfrancisco.it,
Emilia Romagna,,Hotel Royal Plaza,Via Trieste 22,RIMINI,RN,,,info@hotelroyalplaza.it,
Emilia Romagna,,Ras,Via Trieste 26,GATTEO - GATTEO A MARE,FC,,,info@hotelras.com,
Emilia Romagna,,Abbondanza,Via Trieste 27,GATTEO - GATTEO A MARE,FC,,,info@hotelabbondanza.it,
Emilia Romagna,,Europa,Via Trieste 29,GATTEO - GATTEO A MARE,FC,,,info@h-europa.net,
Emilia Romagna,,Magnolia,Via Trieste 31,GATTEO - GATTEO A MARE,FC,,,albmagnolia@libero.it,
Emilia Romagna,,Alba d'Oro,Via Trieste 35,GATTEO - GATTEO A MARE,FC,,,info@hotelalbadoro.com,
Emilia Romagna,,Trieste,Via Trieste 4-Località Marina Centro,RIMINI,RN,,,info@hoteltriesterimini.it,
Emilia Romagna,,Trieste,Via Trieste 9,RAVENNA,RA,,,h-trieste@libero.it,
Emilia Romagna,,Luxor,Via Tripoli 203-Località Marina Centro,RIMINI,RN,,,info@riminiluxor.com; apellegrini@riminiluxor.com,
Emilia Romagna,,President,Via Tripoli 276-Località Marina Centro,RIMINI,RN,,,hotel@presidenthotel.net,
Emilia Romagna,,Euro,Via Ugo La Malfa 7,IMOLA,BO,,,info@eurohotelimola.com,
Emilia Romagna,,Selene,Via V Traversa 11,CERVIA - MILANO MARITTIMA,RA,,,info@hotelselene.net,
Emilia Romagna,,Villa Ombrosa,Via V Traversa 5,CERVIA - MILANO MARITTIMA,RA,,,villaombrosa@tin.it,
Emilia Romagna,,Ariosto,Via Val Sesia 5,CERVIA - PINARELLA,RA,,,info@hotelariosto.info,
Emilia Romagna,,Bamar,Via Val Sesia 6,CERVIA - PINARELLA,RA,,,info@hotelbamar.it,
Emilia Romagna,,Primula Azzurra,Via Valdarno 4,CERVIA - PINARELLA,RA,,,primula@unionhotels.it,
Emilia Romagna,,Stadiohotel,Via Valnure 20,PIACENZA,PC,,,info@stadiohotel.it,
Emilia Romagna,,Riz,Via Venere 10,CERVIA,RA,,,info@rizhotel.it,
Emilia Romagna,,Haway,Via Venezia 2,CATTOLICA,RN,,,haway@cattolicaturismo.com,
Emilia Romagna,,Baia Terminus,Via Venezia 30,CATTOLICA,RN,,,terminus@cattolicaturismo.com,
Emilia Romagna,,Panama,Via Venezia 45,CATTOLICA,RN,,,panamahotel@libero.it,
Emilia Romagna,,Falco d'Oro,Via Venola 27,VERGATO - TOLE',BO,,,info@falcodoro.com,
Emilia Romagna,,Acropolis,Via Verdi 1,CATTOLICA,RN,,,acropolis@cattolicaturismo.com,
Emilia Romagna,,Primula,Via Verghereto 26,RAVENNA - LIDO DI SAVIO,RA,,,info@hotelprimula.net,
Emilia Romagna,,Il Laghetto,Via Versurone 205,FIUMALBO,MO,,,allaghetto@abetone.com,
Emilia Romagna,,Santo Stefano,Via Vettigano 26-Località Ponte,CAMPAGNOLA EMILIA - VETTIGANO,RE,,,golfsantostefano@tin.it,
Emilia Romagna,,Mocambo,Via VI Traversa 17,CERVIA - MILANO MARITTIMA,RA,,,mocambo@acapulcohotels.it,
Emilia Romagna,,Royal,Via VI Traversa 18,CERVIA - MILANO MARITTIMA,RA,,,royalhotel@inwind.it,
Emilia Romagna,,Acapulco,Via VI Traversa 19,CERVIA - MILANO MARITTIMA,RA,,,info@acapulcohotels.it,
Emilia Romagna,,Tordi Garden Hotel,Via Viareggio 1-Rivazzurra,RIMINI,RN,,,info@hoteltordi.com,
Emilia Romagna,,San Pellegrino,Via Vignolese 1130,SPILAMBERTO,MO,,,info@hotelsanpellegrino.it,
Emilia Romagna,,Waldorf,Via VII Traversa 17,CERVIA - MILANO MARITTIMA,RA,,,waldorf@premierhotels.it,
Emilia Romagna,,Singapore,Via VII Traversa 6,CERVIA - MILANO MARITTIMA,RA,,,info@hotelsingapore.it,
Emilia Romagna,,Sorriso & Carillon,Via VIII Traversa 19,CERVIA - MILANO MARITTIMA,RA,,,sorriso@premierhotels.it,
Emilia Romagna,,Sanremo,Via VIII Traversa 21,CERVIA - MILANO MARITTIMA,RA,,,info@continentalsanremo.com,
Emilia Romagna,,Pic Nic,Via VIII Traversa 22,CERVIA - MILANO MARITTIMA,RA,,,picnichot@tin.it,
Emilia Romagna,,Delizia,Via VIII Traversa 23,CERVIA - MILANO MARITTIMA,RA,,,info@hoteldelizia.it,
Emilia Romagna,,Erica,Via VIII Traversa 24,CERVIA - MILANO MARITTIMA,RA,,,info@hotelericapicnic.it,
Emilia Romagna,,Villa Salta,Via Villa Salta 92,PREDAPPIO,FC,,,info@villasalta.com,
Emilia Romagna,,Val Carlina,Via Villaggio Nuovo 33,LIZZANO IN BELVEDERE - VIDICIATICO,BO,,,valcarlina@libero.it,
Emilia Romagna,,Cenisio,Via Villani 1-Località Marina Centro,RIMINI,RN,,,bellavista@bellavistahotels.com,
Emilia Romagna,,Jolly Hotel Villanova,Via Villanova 29-8,CASTENASO - VILLANOVA,BO,,,reservation@jollyhotels.com,
Emilia Romagna,,Internazionale,Via Vincenzi 23,SAN MAURO PASCOLI - SAN MAURO A MARE,FC,,,info@internazionalehotel.com,
Emilia Romagna,,Cantelli,Via Vincenzi 26,SAN MAURO PASCOLI - SAN MAURO A MARE,FC,,,info@hotelcantelli.com,
Emilia Romagna,,Danubio,Via Vincenzi 28,SAN MAURO PASCOLI - SAN MAURO A MARE,FC,,,danubio@hoteldanubio.com,
Emilia Romagna,,Villa Bruna,Via Vincenzi 4,SAN MAURO PASCOLI - SAN MAURO A MARE,FC,,,info@hotelvillabruna.com,
Emilia Romagna,,Park Hotel Serena,Via Vincenzo Canuti 1,RIMINI - VISERBELLA,RN,,,info@parkhotelserena.it,
Emilia Romagna,,Mediterraneo,Via Virgilio 102,BELLARIA IGEA MARINA,RN,,,info@hmediterraneo.net,
Emilia Romagna,,Acquamarina,Via Virgilio 104,BELLARIA IGEA MARINA,RN,,,info@hotel-acquamarina.it,
Emilia Romagna,,Bolognese,Via Virgilio 116,BELLARIA IGEA MARINA,RN,,,info@hbolognese.com,
Emilia Romagna,,Carillon,Via Virgilio 63,BELLARIA IGEA MARINA,RN,,,reception@carillonhotel.it,
Emilia Romagna,,Villa Alessi,Via Virgilio 80,BELLARIA IGEA MARINA,RN,,,info@villaalessi.it,
Emilia Romagna,,Daniel,Via Virgilio 95,BELLARIA IGEA MARINA,RN,,,info@hoteldaniel.net,
Emilia Romagna,,Castelfranco,Via Visconti 6,CASTELFRANCO EMILIA,MO,,,hotelcastelfranco@tiscali.it,
Emilia Romagna,,Aquila Azzurra,Via Vittorio Alfieri 18-Località Marina Centro,RIMINI,RN,,,hotelaquilaazzurra@libero.it,
Emilia Romagna,,Select,Via Vittorio Veneto 10,MONTECCHIO EMILIA,RE,,,info@hotel-select.it,
Emilia Romagna,,Bamby,Via Vittorio Veneto 18-Località Marina Centro,RIMINI,RN,,,info@hotelbamby.rn.it,
Emilia Romagna,,Odeon,Via Volosca 10-Località Bellaria,BELLARIA IGEA MARINA,RN,,,info@hotelodeon.it,
Emilia Romagna,,Cola,Via Volosca 17-Località Bellaria,BELLARIA IGEA MARINA,RN,,,info@hotelcola.it,
Emilia Romagna,,Semprini,Via Volosca 18-Località Bellaria,BELLARIA IGEA MARINA,RN,,,info@hotelsemprini.it,
Emilia Romagna,,Verdemare,Via Walter Ghelfi 10,RIMINI - VISERBA,RN,,,info@albergoverdemare.it,
Emilia Romagna,,Majestic,Via X Traversa 23,CERVIA - MILANO MARITTIMA,RA,,,majestic@majesticgroup.it,
Emilia Romagna,,Montecarlo,Via X Traversa 26,CERVIA - MILANO MARITTIMA,RA,,,info@hotelmontecarlo26.it,
Emilia Romagna,,Dea Beach Spiaggia,Via X Traversa 28,CERVIA - MILANO MARITTIMA,RA,,,info@hoteldea.it,
Emilia Romagna,,Caraibi,Via XI Traversa 13,CERVIA - MILANO MARITTIMA,RA,,,info@hotelcaraibi.info,
Emilia Romagna,,Negresco Beach Spiaggia,Via XI Traversa 15,CERVIA - MILANO MARITTIMA,RA,,,info@hotel-negresco.it,
Emilia Romagna,,Solemare,Via XI Traversa 20,CERVIA - MILANO MARITTIMA,RA,,,solemare@majesticgroup.it,
Emilia Romagna,,Byron,Via XI Traversa 22,CERVIA - MILANO MARITTIMA,RA,,,hotel@hotelbyron.it,
Emilia Romagna,,King,Via XII Traversa 14,CERVIA - MILANO MARITTIMA,RA,,,king@azzurroclub.it,
Emilia Romagna,,Benini,Via XII Traversa 16,CERVIA - MILANO MARITTIMA,RA,,,info@hotelbenini.it,
Emilia Romagna,,Condor,Via XIII Traversa 10,CERVIA - MILANO MARITTIMA,RA,,,hotelcondor@libero.it,
Emilia Romagna,,Amigos Golf Hotel,Via XIII Traversa 13,CERVIA - MILANO MARITTIMA,RA,,,hamigos@cervia.com,
Emilia Romagna,,Adria,Via XIII Traversa 19,CERVIA - MILANO MARITTIMA,RA,,,info@hoteladriaonline.it,
Emilia Romagna,,Atlantic,Via XIII Traversa 3,CERVIA - MILANO MARITTIMA,RA,,,info@hotelatlantic.net,
Emilia Romagna,,Liberty,Via XIV Traversa 5,CERVIA - MILANO MARITTIMA,RA,,,info@hliberty.it,
Emilia Romagna,,Oasi,Via XIV Traversa 8,CERVIA - MILANO MARITTIMA,RA,,,info@oasihotel.net,
Emilia Romagna,,Bellevue Beach,Via XIX Traversa 9/10,CERVIA - MILANO MARITTIMA,RA,,,bellevue@beachhotels.it,
Emilia Romagna,,Ausonia,Via XV Traversa 11,CERVIA - MILANO MARITTIMA,RA,,,info@hotel-ausonia.com,
Emilia Romagna,,City,Via XV Traversa 13,CERVIA - MILANO MARITTIMA,RA,,,info@citybeachresort.com,
Emilia Romagna,,Monaco,Via XV Traversa 9,CERVIA - MILANO MARITTIMA,RA,,,hotel.monaco@libero.it,
Emilia Romagna,,Apollo,Via XVI Traversa 11,CERVIA - MILANO MARITTIMA,RA,,,info@albergoapollo.com,
Emilia Romagna,,Happy,Via XVI Traversa 7,CERVIA - MILANO MARITTIMA,RA,,,infohappy@casadeihotels.com,
Emilia Romagna,,Mirage,Via XVI Traversa 9,CERVIA - MILANO MARITTIMA,RA,,,mirage@beachotels.it,
Emilia Romagna,,San Giorgio,Via XVII Traversa 5,CERVIA - MILANO MARITTIMA,RA,,,info@hotelsangiorgio.net,
Emilia Romagna,,Fenice,Via XVII Traversa 6,CERVIA - MILANO MARITTIMA,RA,,,fenice@beachotels.it,
Emilia Romagna,,Metropolitan,Via XVII Traversa 7,CERVIA - MILANO MARITTIMA,RA,,,metropolitan@premierhotels.it,
Emilia Romagna,,Torremaura,Via XVII Traversa 8,CERVIA - MILANO MARITTIMA,RA,,,info@hoteltorremaura.it,
Emilia Romagna,,Olympic,Via XVII Traversa 8,CERVIA - MILANO MARITTIMA,RA,,,info@olimpichotel.it,
Emilia Romagna,,Savini,Via XVIII Traversa 14,CERVIA - MILANO MARITTIMA,RA,,,info@hsavini.it,
Emilia Romagna,,Canè,Via XX Settembre 27,DOZZA,BO,,,info@ristorantecanet.net,
Emilia Romagna,,Savoy Hotel,Via XX Settembre 3/a-angolo Via Garibaldi,PARMA,PR,,,info@savoyparma.it,
Emilia Romagna,,Garden Club,Via XXV Aprile 7,GATTATICO - PRATICELLO,RE,,,info@hotelgardenclub.com,
Emilia Romagna,,Zen,Via XXV Luglio 50,CESENATICO,FC,,,info@hotelzen.it,
Emilia Romagna,,Golden Tulip Aemilia Hotel,Via Zaccherini Alvisi 16,BOLOGNA,BO,,,info@aemiliahotel.it,
Emilia Romagna,,San Donato,Via Zamboni 16,BOLOGNA,BO,,,info@hotelsandonato.it,
Emilia Romagna,,Memory,Via Zanzur 7-Località Marina Centro,RIMINI,RN,,,memory@hotelmemory.it,
Emilia Romagna,,Ricchi,Via Zavagli 119-San Giuliano,RIMINI,RN,,,info@hotelricchi.it,
Emilia Romagna,,Mirage,Via Zeno 13-Località Bellaria,BELLARIA IGEA MARINA,RN,,,hotelmirage@interfree.it,
Emilia Romagna,,Tre Galletti,Via Ziano di Sotto 18,SASSO MARCONI,BO,,,info@tregalletti.com,
Emilia Romagna,,Romagna,Via Zuccherificio 215,CESENA,FC,,,info@hotel-romagna.it,
Emilia Romagna,,Palace Hotel,Viale 2 Giugno 60,CERVIA - MILANO MARITTIMA,RA,,,palace@selechotels.it,
Emilia Romagna,,Andreucci,Viale Abruzzi 130,CERVIA - TAGLIATA,RA,,,info@hotelandreucci.com,
Emilia Romagna,,Real,Viale Abruzzi 83,CERVIA - TAGLIATA,RA,,,info@hotelrealcervia.com,
Emilia Romagna,,Lima,Viale Adriatico 33,RAVENNA - LIDO DI SAVIO,RA,,,info@hlima.it,
Emilia Romagna,,Rigoletto,Viale alle Terme 15/Bis,SALSOMAGGIORE TERME - TABIANO BAGNI,PR,,,info@hotelrigoletto.it,
Emilia Romagna,,King,Viale Amerigo Vespucci 139,RIMINI,RN,,,info@hotelkingrimini.com,
Emilia Romagna,,Holiday Inn Rimini,Viale Amerigo Vespucci 16-Località Marina Centro,RIMINI,RN,,,info@hirimini.com,
Emilia Romagna,,Sporting,Viale Amerigo Vespucci 20-Località Marina Centro,RIMINI,RN,,,info@hotelsportingrimini.com,
Emilia Romagna,,Polo,Viale Amerigo Vespucci 23-Località Marina Centro,RIMINI,RN,,,polo@hotelpolo.it,
Emilia Romagna,,De Londres,Viale Amerigo Vespucci 24,RIMINI,RN,,,info@hoteldelondres.it; anzuino@hoteldelondres.it,
Emilia Romagna,,Waldorf,Viale Amerigo Vespucci 28-Località Marina Centro,RIMINI,RN,,,info@waldorf.it,
Emilia Romagna,,Villa Adriatica,Viale Amerigo Vespucci 3-Località Marina Centro,RIMINI,RN,,,villaadriatica@ambienthotels.it,
Emilia Romagna,,Continental e dei Congressi,Viale Amerigo Vespucci 40-Località Marina Centro,RIMINI,RN,,,info@hotelcontinentalrimini.com,
Emilia Romagna,,National,Viale Amerigo Vespucci 42-Località Marina Centro,RIMINI,RN,,,info@nationalhotel.it,
Emilia Romagna,,Club House - Hotel & Convention Center,Viale Amerigo Vespucci 52,RIMINI,RN,,,info@clubhouse.it,
Emilia Romagna,,Ramada Rimini Villa Rosa,Viale Amerigo Vespucci 71-Località Marina Centro,RIMINI,RN,,,inforosa@metha.com; andrea.dangelo@metha.com,
Emilia Romagna,,Croce del Sud,Viale Antonio da Noli 28,CESENATICO,FC,,,info@crocedelsudsas.191.it,
Emilia Romagna,,Ideal Bianchini,Viale Antonio Gramsci 100,RICCIONE,RN,,,ideal@riccione.net,
Emilia Romagna,,Falco,Viale Antonio Gramsci 86,RICCIONE,RN,,,info@hotelfalco.com,
Emilia Romagna,,Embassy,Viale Antonio Gramsci 90,RICCIONE,RN,,,hotel.embassy@iper.net,
Emilia Romagna,,Prater,Viale Archimede 20,CESENATICO - VILLAMARINA,FC,,,info@hotelprater.com,
Emilia Romagna,,Mocambo,Viale Ariosto 1,RICCIONE,RN,,,info@hotelmocambo.com,
Emilia Romagna,,Parco,Viale Ariosto 12,RICCIONE,RN,,,info@hotelparcoriccione.it,
Emilia Romagna,,Luna,Viale Ariosto 5,RICCIONE,RN,,,info@lunariccione.it,
Emilia Romagna,,Vecchia Rimini,Viale Ariosto 68,COMACCHIO - LIDO DEGLI ESTENSI,FE,,,info@hotelvecchiarimini.it,
Emilia Romagna,,Eden,Viale Aristotele 27,CESENATICO - VILLAMARINA,FC,,,hoteleden@euradria.com,
Emilia Romagna,,Vallechiara,Viale Aristotele 49,CESENATICO - VILLAMARINA,FC,,,info@hotelvallechiara.it,
