email,nome,cognome,nome_azienda
info@villailpozzo.it,,,Villa il Pozzo | Weddings/Events & Suites
info@dievole.it,,,Villa il Pozzo | Weddings/Events & Suites
info@paluffo.com,,,Il Paluffo
osteriadelvicario@gmail.com,,,Osteria Del Vicario
benvenuti@la-collina.it,,,Agriturismo La Collina degli Olivi
info@antica-cisterna.it,,,Antica Cisterna
info@poderebenintendi.com,,,Podere Benintendi
info@tenutadisticciano.it,,,Tenuta di Sticciano
reception@tenutadisticciano.it,,,Tenuta di Sticciano
osteria@tenutadisticciano.it,,,Tenuta di Sticciano
info@linando2.it,,,Locanda Linando II
info@fattoriabassetto.com,,,Bassetto Guesthouse & Apartments
reservations@fattoriabassetto.com,,,Bassetto Guesthouse & Apartments
gingerale@yandex.ru,,,Terra della Lanterna
info@lalocandadianita.it,,,La Locanda di Anita
info@locandatoscanini.it,,,B&B Locanda Toscanini
info@locandadicetona.com,,,La Locanda di Cetona Accoglienza Toscana
info@poderesangirolamo.com,,,Podere San Girolamo
info@cevolicountryresort.com,,,Cevoli Country Resort
info@albergolarosetta.it,,,Albergo La Rosetta
info@savoiapalacechiancianoterme.it,,,Savoia Palace Chianciano Terme
info.villagaiahotel@gmail.com,,,Hotel Villa Gaia
info@albergosanremo.net,,,Albergo Sanremo
albergosanremo@libero.it,,,Albergo Sanremo
info@hotelvittoriachianciano.com,,,Hotel Vittoria
booking@hotelvittoriachianciano.com,,,Hotel Vittoria
info@hotelnobile.it,,,Hotel Nobile
info@grandhotelexcelsior.it,,,Grand Excelsior
info@grandhotellefonti.com,,,Grand Hotel Le Fonti
info@agriturismogello.com,,,Agriturismo Gello
info@hotel-michelangelo.it,,,Michelangelo
ciao@casamtuscany.com,,,Casa M Vineyard
careers@casamtuscany.com,,,Casa M Vineyard
info@hotelpresidentchiancianoterme.it,,,Hotel President
info@hotelperugina.com,,,Hotel Perugina
info@atlanticohotel.it,,,Atlantico Palace Hotel
info@hotelsantarita.it,,,Hotel Santa Rita
marketing@barbettihotels.it,,,Hotel Patria
info@myhotelmediterraneo.com,,,Hotel Mediterraneo
r.leone@myhotelmediterraneo.com,,,Hotel Mediterraneo
g.sorrentino@myhotelmediterraneo.com,,,Hotel Mediterraneo
info@hotelangiolino.it,,,Albergo Angiolino
hotelmonicabooking@gmail.com,,,Albergo Hotel Monica
info@hotelvillaferrara.it,,,Hotel Ferrara
info@hotelcristallo.eu,,,Cristallo
info@paradisone.it,,,Cristallo
info@hotelattico.net,,,Hotel Attico
hotel.nanda@libero.it,,,Hotel Nanda Chianciano Terme
mymail@mailservice.com,,,Hotel Nanda Chianciano Terme
info@ecohoteledy.com,,,Hotel Edy
info@albergolesorgenti.it,,,Hotel Le Sorgenti
info@hotelaggravichianciano.com,,,Aggravi
info@admiralpalace.it,,,Grand Hotel Admiral Palace
info@hotelpanoramachianciano.it,,,Hotel Panorama
info@termechianciano.it,,,Villa Edelweiss
gcioli@libero.it,,,Villa Edelweiss
reservations@grandhotelboston.it,,,Grand Hotel Boston
info@albergosantantonio.com,,,Hotel Sant'Antonio
info@stelladoro.it,,,Stella D'Oro
hcristina@tin.it,,,Hotel Cristina
info@rvenere.it,,,Residence Venere - Apartment
info@hotelsaturno.it,,,Hotel Saturno
info@nuovohotelsestriere.com,,,Hotel Sestriere
info@albergoandreucci.it,,,Albergo Villa Andreucci
info@hotelgardenchianciano.it,,,Hotel Garden Snc Di Micheli Irene E C.
info@suiteweb.it,,,Hotel Villa Ricci
terme@paradisehotels.it,,,Grand Hotel Terme
info@albergorossana.it,,,Albergo Rossana
info@hotelarnochianciano.it,,,Hotel Arno
info@anticaquerciaespa.com,,,Antica Quercia Villa & Spa
info@lagrencaia.it,,,Country House Grencaia
poderelasvolta@gmail.com,,,La Svolta - bed and breakfast
info@agriturismodueponti.it,,,Agriturismo Due Ponti
agriturismodueponti@gmail.com,,,Agriturismo Due Ponti
info@relaismariacristina.it,,,Relais Maria Cristina
info@tuscookany.com,,,Torre del Tartufo Tuscookany cooking classes in Tuscany
doncarlossrl@legal.email.it,,,Motel Parco delle Rose
info@pensioneannamaria.it,,,Pensione Annamaria
daannamaria@livornopec.it,,,Pensione Annamaria
info@hotelauroraelba.it,,,"Hotel Aurora in Marciana, Hotel in Marciana"
affittacamere.victoria@gmail.com,,,Affittacamere Victoria
mail@locandailgallo.it,,,Ristorante Locanda Il Gallo
info@locandailgallo.it,,,Ristorante Locanda Il Gallo
luciovaleri@me.com,,,Hotel Ristorante Docciola
hotelristorantedocciola@yahoo.it,,,Hotel Ristorante Docciola
francesca.torchiana@hapimag.com,,,Hapimag Resort Pentolina
hassan.kadbi@hapimag.com,,,Hapimag Resort Pentolina
kurt.scholl@hapimag.com,,,Hapimag Resort Pentolina
info@sangalgano.it,,,Agriturismo San Galgano - Terre di San Galgano
info@villalicia.it,,,Villa Licia
info@residenzadeiricci.com,,,Residenza Dei Ricci
info@hotelbelmondo.it,,,Hotel Belmondo
info@macciangrosso.it,,,"Macciangrosso Country House. Agriturismo, B&B, Casa Vacanze. Chiusi, Siena"
info@locandagranducato.it,,,Locanda Granducato
info@hotelismaele.it,,,Albergo Ismaele
info@gameli.it,,,L'Albero di Gamelì
poderedellabruciata@gmail.com,,,Podere della Bruciata Villa
inforondini@libero.it,,,Le Rondini
info@algiardinodeglietruschi.it,,,Al Giardino Degli Etruschi
gilberto@bellavistalbergo.com,,,Albergo Ristorante BELLAVISTA
info@nuovaeralife.com,,,Agriturismo Nuova Era
contatti@nuovaeralife.com,,,Agriturismo Nuova Era
web@suorefse.org,,,Pastor Angelicus - La Verna
info@borgosanto.com,,,Borgo Santo
ilpozzo@borgosanto.com,,,Borgo Santo
bar@borgosanto.com,,,Borgo Santo
info@lamacina.net,,,La Macina Residential House
info@terre-toscane.com,,,B&B Terre Toscane
info@poderecarceroni.it,,,Podere Carceroni
info@parco-maremma.it,,,Podere Carceroni
centrovisite@parco-maremma.it,,,Podere Carceroni
agriturismo@mariannino.com,,,agriturismo mariannino
spa@termedellaversilia.com,,,Terme della Versilia Hotel Villa Undulna
hotel@termedellaversilia.com,,,Terme della Versilia Hotel Villa Undulna
hotelzeno87@gmail.com,,,Albergo Zeno
info@hotelgiuliocesarecinquale.com,,,Hotel Giulio Cesare
info@hotelstoryville.it,,,Hotel Storyville
info@lavecchiatenenza.it,,,La Vecchia Tenenza B&B
info@sancarlobeb.it,,,B&B San Carlo A La Molinella
b.blacasadelsarto@gmail.com,,,B&B la Casa del Sarto
info@ristoranteilpozzetto.it,,,Ristorante Albergo Il Pozzetto
info@collomici.it,,,Appartamento Zafferano
info@hotel-vannucci.com,,,Hotel Vannucci
info@hotel-vannucci.it,,,Hotel Vannucci
info@casagrinta-bnb.net,,,Casa Grinta B&B
info@locandadellapicca.it,,,Locanda Della Picca
info@casavacanzecheznous.it,,,B&B Chez Nous Città della Pieve
b@casavacanzecheznous.it,,,B&B Chez Nous Città della Pieve
booking@casavacanzecheznous.it,,,B&B Chez Nous Città della Pieve
booking@pievesuites.com,,,Pieve Suites
anne@pievesuites.com,,,Pieve Suites
info@pievesuites.com,,,Pieve Suites
lebosch@tiscali.it,,,hotel ristorante il boschetto 2 stelle
hotel.ilboschetto@icloud.com,,,hotel ristorante il boschetto 2 stelle
info@borgodicelle.it,,,Borgo di Celle
direzione@hotellemura.it,,,Le Mura
info@hotelparkgeal.it,,,Hotel Park Ge. Al.
cultura@ilpoliedro.org,,,Hotel Park Ge. Al.
info@hotelvillasandonino.it,,,Hotel Villa San Donino
info@hotelvillasandonnino.it,,,Hotel Villa San Donino
umbria@hotelumbria.net,,,Albergo Ristorante Umbria
serezeta@tin.it,,,Palazzo San Florido
ilsarale@sheetz.nl,,,Sheetz Agriturismo Il Sarale
receptie.thefallon@sheetz.nl,,,Sheetz Agriturismo Il Sarale
gideon@sheetz.nl,,,Sheetz Agriturismo Il Sarale
mauriziolombardi12@gmail.com,,,B&B Le Terre di Caprano
info@lacasapaterna.com,,,Country House la Casa Paterna
info@hoteltiferno.it,,,Hotel Tiferno
info@hotelgardenexperience.com,,,Hotel Garden Experience
garden@hotelgarden.com,,,Hotel Garden Experience
info@anticacanonica.it,,,Residenza Antica Canonica
jacopadue@yahoo.it,,,Residenza Antica Canonica
info@albergovaldolo.com,,,Hotel Val Dolo
palazzoninci@gmail.com,,,Palazzo Ninci
castello@maiano.net,,,CASTELLO DI MAIANO
borgosantercolano@gmail.com,,,Agriturismo Borgo Sant'Ercolano
poggiodeldrago@gmail.com,,,B & B Country House Poggio Del Drago
info@antborgo.it,,,Ristorante - Bed & Breakfast Antico Borgo
info@laloccaia.it,,,B&B La Loccaia con piscina in Toscana tra Arezzo e Siena
info@lampugnano.com,,,Agriturismo B&B Appartamenti Lampugnano
info@artandgarden.it,,,Art and Garden Appartamenti - Villa con Piscina panoramica
info@agriturismovaldifarma.it,,,Farm Val Di Farma
nlafuen@virgilio.it,,,Antico Borgo Montacuto
info@santagenoveffa.it,,,Santa Genoveffa Resort Hotel
info@g-arsapua.com,,,B&B Galleria Ars Apua
arsapuacarrara@gmail.com,,,B&B Galleria Ars Apua
info@palazzosanlorenzo.it,,,Palazzo San Lorenzo Hotel & Spa
sportlandlabadia@gmail.com,,,Sportland la badia
info@poderecampinovi.it,,,Agriturismo Podere Campinovi
info@lavecchiacartiera.it,,,Hotel la Vecchia Cartiera
info@sansebastianosuite.com,,,San Sebastiano Suite & Luxury
info@mensanello.com,,,Agriturismo Tenuta di Mensanello
ristorante@mensanello.com,,,Agriturismo Tenuta di Mensanello
malcolm@voltrona.com,,,Agriturismo Tenuta di Mensanello
info@hotelpietreto.it,,,HOTEL AL VECCHIO PIETRETO
info@pievedisanmartino.it,,,La Pieve di San Martino
info@palazzopacini.com,,,Hotel Palazzo Pacini
info@palazzorenieri.it,,,Hotel Palazzo Renieri
info@relaisdellarovere.it,,,Relais Della Rovere
arnolfo@temainf.it,,,Arnolfo B&B
info@bitebip.it,,,Fattoria di Mugnano
info@agriturismocharmetoscana.com,,,Agriturismo La Pieve
info@borgocolleoli.com,,,Karma Borgo di Colleoli
info@dimoraghirlandaio.it,,,Dimora Ghirlandaio
info@motelvespucci.com,,,Motel Vespucci
cookie@interportotoscano.com,,,Motel Vespucci
info@mulinodellarivolta.it,,,mulino della rivolta
info@nelbelmezzo.it,,,B&B Puccioni
info@miramonti-albergo-ristorante.it,,,Albergo Miramonti
chef@miramonti-albergo-ristorante.it,,,Albergo Miramonti
info@villalefarnete.com,,,Villa Le Farnete - Relais and Events
info@bedandbreakfastcadelduca.it,,,B&B Ca' Del Duca
info@cadelduca.it,,,B&B Ca' Del Duca
info@pievedicamaggiore.it,,,Holiday House Pieve di Camaggiore
info@sassaalsole.com,,,Relais Sassa Al Sole
reservation@sassaalsole.com,,,Relais Sassa Al Sole
otiumspa@sassaalsole.com,,,Relais Sassa Al Sole
info@casalapace.com,,,Casa La Pace
lee.hinder@ntlworld.com,,,Casa La Pace
info@albergodiffusogarfagnana.it,,,La Pietra Antica Albergo Diffuso
info@hotelleonardo.net,,,Hotel Leonardo
info@albergodagigino.com,,,Albergo Locanda Pizzeria Da Gigino
info@agriturismoristorodelcavaliere.it,,,Agriturismo Ristoro del Cavaliere
mirinadavi82@libero.it,,,Agriturismo Ristoro del Cavaliere
info@villasantamargheritacortona.it,,,Villa Santa Margherita
hotel153319@wearehotels.top,,,Hotel Oasi Neumann
info@ilpoggiodelsoletuscany.com,,,Il Poggio del Sole B&B
sanfrancescobbcortona@gmail.com,,,B&B San Francesco - Cortona
lucia@borgodivagli.com,,,Borgo di Vagli
stefania@borgodivagli.com,,,Borgo di Vagli
daria@borgodivagli.com,,,Borgo di Vagli
info@villalamorina.com,,,Farmhouse Villa La Morina
info@hotelsanlucacortona.com,,,Hotel San Luca
cortona@casadreosti.com,,,Casa Dreosti. Boutique accommodation
locanda@pane-vino.it,,,B&B - Locanda Pane e Vino
taverna@pane-vino.it,,,B&B - Locanda Pane e Vino
info@agriturismoilborgo.com,,,Farmhouse Il Borgo
info@fontelunga.it,,,Pupa B&B
info@casasoleluna.com,,,House Forums - B & B Cortona
casakita@gmail.com,,,B & B Casa Kita
info@rentintuscany.it,,,Cortona Suite B&B
info@cortonaresortspa.it,,,Cortona Resort - Villa Aurea
info@casachilenne.com,,,Casa Chilenne B&B
info@ilcasale.com,,,Residence Il Casale
info@cortonaluxuryrooms.com,,,The Court of Ambra B & B Luxury in Cortona
info@locandadelmolino.com,,,Locanda Del Molino
weddings@lacortedeipapi.com,,,Relais La Corte Dei Papi
info@palazzopetrella.com,,,Palazzo Petrella
info@terretrusche.com,,,Villa Cristina
ticketing@terretrusche.com,,,Villa Cristina
webmaster@bypixel.com,,,Villa Cristina
info@togethertuscany.com,,,Casale Pietrenta
info@anticocarrocortona.it,,,Casale l'Antico Carro
info@monasterodicortona.com,,,Monastero di Cortona - Hotel & Spa
privacy@planhotel.com,,,Hotel Italia
info@theviewlugano.com,,,Hotel Italia
info@bebcortona.it,,,B&B Piccolo Hotel
info@belvedereapartments.it,,,Appartamenti Belvedere
info@borgosanpietro.com,,,Villa Borgo San Pietro
bnbdeipapi@gmail.com,,,Bed and Breakfast dei Papi
info@hotelpaesecorvara.it,,,Paese Corvara
deniagriturismo@gmail.com,,,Agriturismo Deni
info@casabellavista.it,,,Casa Bellavista BB
info@lasiegia.it,,,La Siègià resort Pool & Restaurant
contattandoinfo@lasiegia.it,,,La Siègià resort Pool & Restaurant
dataprotectionoffice@booking.com,,,La Siègià resort Pool & Restaurant
info@abetonebellavista.it,,,Hotel Bellavista
info@locandatinti.it,,,Locanda Tinti
info@poderecastellare.it,,,Podere Castellare
info@peterinflorence.com,,,Podere Castellare
info@trebbiolo.com,,,Agriturismo Trebbiolo
hello@montedomini.com,,,Montedomini Forest & Farm Retreat
info@villacellaia.com,,,il borgo di villa cellaia
info@francosvilla.com,,,B&B Franco's Villa - Bed and Breakfast Lucca - Culliness
motori@tuonome.it,,,Albergo Ristorante Val di Luce
hotelbristol@abetone.com,,,Hotel Bristol
info@valdelrio.com,,,Hotel Val del Rio
pagnipaolo@gmail.com,,,Hotel Val del Rio
info@doganaccia2000.it,,,Rifugio La Grande Baita c/o Funivia Doganaccia
info@paraduresort.com,,,Paradú EcoVillage & Resort
reservations@paraduresort.com,,,Paradú EcoVillage & Resort
sales@paraduresort.com,,,Paradú EcoVillage & Resort
nfo@hotelcucciolo.com,,,Hotel Cucciolo
vallesanta@hotmail.it,,,Borgovallesanta
info@fanano.eu,,,Alle Cascate Bed And Breakfast
info@ladylunafirenze.it,,,Lady Luna B&B
laura@versofirenze.com,,,Verso Firenze
info@hoteltazzadoro.com,,,Hotel Tazza d'Oro Taddei B & C sas
affittacamerestazione@gmail.com,,,Affittacamere Stazione Empoli
info@homybnb.com,,,HOMY BnB
antichemuraempoli@gmail.com,,,Villa Antiche Mura
u003eantichemuraempoli@gmail.com,,,Villa Antiche Mura
info@fattoriadicorniola.com,,,Country B&B Villa di Corniola
info@bebelduche.it,,,B&B EL DUCHE
prenota@bebelduche.it,,,B&B EL DUCHE
info@itigliempoli.it,,,I Tigli Empoli - Casa Vacanze
spring@itigliempoli.it,,,I Tigli Empoli - Casa Vacanze
urgenze@itigliempoli.it,,,I Tigli Empoli - Casa Vacanze
info@scarselliaffittacamere.it,,,Scarselli Affittacamere
info@borgosangiusto.it,,,Bed and Breakfast Borgo San Giusto
info@hotelilsole.eu,,,Hotel Il Sole
brunelleschi39@gmail.com,,,B&B Brunelleschi 39
info@affittacamereempoli.it,,,Five Rooms
info@casavinicia.it,,,Casa Vinicia
info@labettoladelbuttero.com,,,La Bettola del Buttero Hotel
info@ilpoderaccio.com,,,Casale il Poderaccio
info@hotelilfocolare.it,,,Hotel Il Focolare
focolarefabro@gmail.com,,,Hotel Il Focolare
info@casaleserena.it,,,Casale Serena
info@anticheterrehotel.com,,,Antiche Terre Hotel & Relax
info@baiahotel.com,,,Antiche Terre Hotel & Relax
info@albergok2.com,,,Albergo K2
info@campodiluna.it,,,Campo di Luna Agriturismo
info@casaballoni.it,,,CasaBalloni
info@beb-ilfortino.com,,,B&B Il Fortino
cadeltop@llht.org,,,B&B Ca' del top
hotelbologna@libero.it,,,Albergo Bologna
info@albergosolefanano.it,,,Albergo Ristorante Sole di Monterastelli Cinzia & C. snc
laterrazzadireggello@virgilio.it,,,B&B La Terrazza di Reggello
info@verdeulivo.it,,,Bed & Breakfast VerdeUlivo
info@residenzafarnese.net,,,Residenza Farnese
tarotg@tin.it,,,Residenza Farnese
setterg@libero.it,,,B&B Dei Riri
info@fattorialaviosa.com,,,Fattoria Laviosa
hotelddfauglia@gmail.com,,,D&D HOTEL
info@residencelacalle.it,,,Residence La Calle
hotelmontemerlo@gmail.com,,,Hotel Montemerlo
anna@fetovaia.it,,,Hotel Anna
manager@castellodisantamarianovella.com,,,Castello di Santa Maria Novella
info@hotelfiascherino.it,,,Hotel Fiascherino
info@poggiopiano.it,,,AGRITURISMO POGGIOPIANO- B&B con PISCINA PANORAMICA
info@eridu.it,,,Eridu
info@villadicampolungo.it,,,Villa Campolungo Farm
f.bartolozzi@alice.it,,,B&B Il Camino delle Fate Rosa
bartolozzifiorenza@gmail.com,,,B&B Il Camino delle Fate Rosa
supporto@vetrina-digitale.com,,,Florence Country Relais
privacy@sendinblue.com,,,Florence Country Relais
info@lecannellefiesole.com,,,B&B Le Cannelle FIESOLE
cborden@belmond.com,,,"Villa San Michele, A Belmond Hotel, Florence"
dillard.dearborn@belmond.com,,,"Villa San Michele, A Belmond Hotel, Florence"
carol.etheridge@belmond.com,,,"Villa San Michele, A Belmond Hotel, Florence"
info@maisontorrini.it,,,Casa Torrini B&B
info@montereggi.it,,,Agriturismo Montereggi
info@residencefiesole.com,,,Residence Fiesole
bbletorridifirenze@gmail.com,,,B&B Le Torri Di Firenze
jason@bit.ly,,,B&B Renaio
jonathan@bit.ly,,,B&B Renaio
pn@bit.ly,,,B&B Renaio
info@palagina.it,,,Palagina | la dimora
jesse@albereto.de,,,Agriturismo Alberetino
info@einsteinhouse.it,,,Einstein's House
info@residencelapoggerina.it,,,The Residence Poggerina
residencelapoggerina@gmail.com,,,The Residence Poggerina
info@relaisvillaalvento.com,,,Relais Villa Al Vento
restaurant@casanuova-toscana.it,,,Locanda Casanuova
info@casalelagora.it,,,Casale La Gora
info@relaisvillabelvedere.it,,,Relais Villa Belvedere
info@casaleginette.com,,,B&B Casale Ginette
info@panoramatuscany.com,,,Residence Panorama
reception@albergo-toscana.com,,,Hotel Toscana
info@albergo-toscana.com,,,Hotel Toscana
info@villalaborghetta.com,,,Villa La Borghetta
info@podereconti.com,,,Hotel Podere Conti
info@ilmelogranonano.com,,,Il Melograno Nano
lunaestelletuscany@gmail.com,,,Luna & Stelle
info@birillinaguesthouse.it,,,Birillina Guest House B&B in Garfagnana
info@lacollinadeifranchi.it,,,B & B in Garfagnana - La Collina dei Franchi
info@bbdonnini.it,,,B&b Donnini Firenzuola
info@levignetoscana.com,,,B&B le Vigne
hotelpiccolafirenzere@gmail.com,,,Hotel Piccola Firenze
hotelpiccolafirenze@gmail.com,,,Hotel Piccola Firenze
info@gliorzali.it,,,Hotel Gli Orzali
marco.mezzetti@gmail.com,,,B&B Antico Borgo - Piancaldoli
hotel121227@wearehotels.top,,,Albergo La Carinzia
info@hotelillaghetto.it,,,Hotel Ristorante Il Laghetto
info@residencepax.it,,,Residence PAX
info@albergoristoranteilpilota.it,,,Albergo Ristorante Il Pilota
info@riverparkhotel.it,,,River Park Hotel
maisondelmagra@gmail.com,,,Maison del Magra
info@iscra.it,,,boat and breakfast Frapicchia-Fiumaretta
lalunadiquarazzana@gmail.com,,,Agriturismo Luna di Quarazzana special place to stay
info@allaportadisotto.it,,,Bed and Breakfast alla Porta di Sotto
info@passodelcerreto.it,,,Passo Del Cerreto 42037 Collagna Re
ubaldogiannarelli@gmail.com,,,B&B La Bredia
info@ilsicomoro.it,,,Albergo Ristorante Il Sicomoro
info@lalunadeimedici.com,,,B&B La Luna dei Medici
larisorgiva.fivizzano@gmail.com,,,B&b La Risorgiva
info@alvecchiotino.com,,,Agriturismo Al Vecchio Tino
cantoquinto1@gmail.com,,,Bed and breakfast CantoQuinto
info@albergodiffusocentoborghi.com,,,Albergo Diffuso Centoborghi
info@albergofirenze.net,,,Albergo Firenze
lucchesi@toflorence.it,,,Plaza Hotel Lucchesi
concierge.lucchesi@toflorence.it,,,Plaza Hotel Lucchesi
info@dipiazzaduomo.com,,,B&B di Piazza del Duomo
info@soggiornopezzati.it,,,Soggiorno Pezzati B&B
info@piazzapittipalace.com,,,Piazza Pitti Palace
info@corteguelfa.com,,,Corte Guelfa
info@nazionale31.com,,,Bed and Breakfast Nazionale 31
reservations@atlanticpalace.it,,,Hotel Atlantic Palace
concierge.flo@albanihotels.com,,,Hotel Albani Firenze
info@mywayfirenze.com,,,B&B My Way
info@amcollectionflorence.com,,,AM Collection Florence
info@fuordarno.it,,,FuordArno Bed & Breakfast
241950info@fuordarno.it,,,FuordArno Bed & Breakfast
info@magnificomesserefirenze.it,,,B&B Magnifico Messere
info@uffiziharmony.com,,,Uffizi Harmony Hotel
info@casagfirenze.it,,,Casa G. Firenze
info@firenzeattache.com,,,Casa G. Firenze
info@secretgardenfirenze.com,,,Secret Garden Firenze
hotelbodonifirenze@virgilio.it,,,Hotel Bodoni
duccillo@gmail.com,,,Bed and Breakfast Terrazza Belfiore
4159info@casarabatti.it,,,Casa Rabatti
info@casarabatti.it,,,Casa Rabatti
info@florencevacationrental.it,,,Dei Cerchi Holidays
info@bbtheattico.com,,,B&B The Attico
info@larosadifirenze.it,,,La Rosa di Firenze
info@gobycar.it,,,La Rosa di Firenze
accademiadellacrusca@cscsigma.it,,,La Rosa di Firenze
info@residenzatoscanelli.com,,,Toscanelli Residenza d'Epoca
xvega@25hours-hotels.com,,,25hours Hotel Florence Piazza San Paolino
gschuepbach@25hours-hotels.com,,,25hours Hotel Florence Piazza San Paolino
fkollenz@25hours-hotels.com,,,25hours Hotel Florence Piazza San Paolino
isleepbb@gmail.com,,,I Sleep B&B
info@hotelcoronaditalia.com,,,Corona D'Italia
info@hoteldavid.com,,,Hotel David
info@hotelmeridianafirenze.com,,,Hotel Meridiana
info@bnbflo.com,,,B&B FLO
info@antichedimorefiorentine.it,,,Residenza Johanna I
anticajohlea@antichedimorefiorentine.it,,,Residenza Johanna I
johanna@antichedimorefiorentine.it,,,Residenza Johanna I
info@proconsolo.com,,,La Residenza del Proconsolo
nfo@residenzaognissanti.com,,,Residenza Ognissanti
info@residenzaognissanti.com,,,Residenza Ognissanti
info@adelaidehouse.eu,,,Adelaide House
lecameredeiconti@gmail.com,,,Le Camere dei Conti
info@residenzamaglionialbattistero.it,,,B&B Tourist House Battistero
info@hotel900toscana.it,,,Hotel 900 Toscana
hoteltoscanawang@gmail.com,,,Hotel 900 Toscana
info@soggiornocampos.com,,,Soggiorno Campos
email@hotelcareggi.com,,,Hotel Careggi
info@hotelcareggi.it,,,Hotel Careggi
info@residenzalamusa.it,,,Residenza La Musa Amarcord
info@casabotticelli.com,,,Casa Botticelli in San Felice
info@attico43.it,,,Attico43
info@lacasadelghiberti.it,,,La Casa del Ghiberti B&B
ristorante@krafthotel.it,,,Hotel Kraft
fb@krafthotel.it,,,Hotel Kraft
info@touristhouseliberty.it,,,Tourist House Liberty
lacasarosabnb.firenze@gmail.com,,,La Casa Rosa bnb
info@residenzadeglispeziali.it,,,Residenza Degli Speziali
info@bebmonteoliveto.it,,,B&B Monte Oliveto
info@locandadeipoeti.com,,,Locanda dei Poeti
info@hotelpaganini.it,,,Hotel Paganini
rpd@gprp.it,,,Hotel Paganini
renascentia@flatinflorence.com,,,Renascentia in Florence
info@flatinflorence.com,,,Renascentia in Florence
info@casadelgiramondo.it,,,Casa del Giramondo b&b
info@tornabuoniview.com,,,TORNABUONI VIEW Luxury Bed and Breakfast Firenze
info@hotellascaletta.it,,,Hotel La Scaletta Florence
direzione@oliverbb.com,,,B&B Oliver
info@dromflorence.com,,,Drom Florence Rooms&Apartments
info@villaallerampe.com,,,Villa alle Rampe
info@hotelpendini.it,,,Hotel Pendini
strangeunclefirenze@gmail.com,,,Strange Uncle
info@bbsantamariadelfiore.com,,,B&B Santa Maria del Fiore
info@fiorenzabb.it,,,Fiorenza Bed and Breakfast
info@soggiornolapergola.it,,,Soggiorno La Pergola Firenze
info@florenceroomgroup.it,,,FLORENCEROOM GROUP - HOTELS - BED & BREAKFAST - FLORENCE - ITALY - FIRENZE CENTRO & ZONA STADIO/MANDELA FORUM
booking@villacora.it,,,Villa Cora
info@villacora.it,,,Villa Cora
concierge@villacora.it,,,Villa Cora
info@firenzealduomo.com,,,Firenze al Duomo Luxury Bed & Breakfast
info@badiafiorentina.com,,,Bed and Breakfast Badia Fiorentina
info@rovezzano.com,,,Rovezzano B & B - Bed And Breakfast
annadisanto1967@gmail.com,,,Dimora Del Magnifico
s_orefice@yahoo.it,,,Cosy House
s.orefice@yahoo.it,,,Cosy House
info@hotelmaximaxial.com,,,Hotel Maxim Axial
maiolihotels@messaggipec.it,,,Hotel Maxim Axial
villaolmi@toflorence.it,,,Hotel Villa Olmi Firenze
events@toflorence.it,,,Hotel Villa Olmi Firenze
info@hoteljane.it,,,Hotel Jane
info@laterrazzadijenny.it,,,LaTerrazza di Jenny B&B
info@gigliopalace.com,,,Giglio Palace
info@borgopintisuites.it,,,Borgo Pinti Suites
bronzehorsefi@gmail.com,,,Bronze Horse Affittacamere Firenze
info@lacchiappasognifirenze.it,,,L'Acchiappasogni
info@lestanzedelduomo.it,,,The Duomo Rooms
info@affittacamerealba.it,,,Affittacamere Alba
info@parkhotel-theater.de,,,Adre Majestic View
info@santafemotel.com,,,Adre Majestic View
support@dyermgmt.com,,,Adre Majestic View
info@soggiornostibbert.com,,,Relais Firenze Stibbert
info@myforteflorence.com,,,My Forte Relais
info@forte16.com,,,My Forte Relais
giovanpaolo@kursonia.com,,,Hotel Kursaal & Ausonia Firenze
luz@kursonia.com,,,Hotel Kursaal & Ausonia Firenze
info@isoladarno.it,,,B&B Isola d'Arno
info@hotelcordova.it,,,Hotel Cordova
info@ilviaggiatorleggero.it,,,Il Viaggiator Leggero
info@villaagape.it,,,Art Hotel Villa Agape
events@villaagape.it,,,Art Hotel Villa Agape
jobs.siena@soges-group.com,,,Art Hotel Villa Agape
info@1900artevita.com,,,1900 Artevita Bed & Breakfast
info@keyresidence.it,,,Quadra Key Residence
info@hotelvenetofirenze.com,,,Hotel Veneto Firenze
info@bebpalazzi.com,,,B&B Palazzi
info@relaisdelduomo.it,,,Relais del Duomo
info@residenzadellasignoria.com,,,Residenza Della Signoria
info@florenceglancehotel.com,,,Glance Hotel In Florence
bencihouse@bencihouse.com,,,Benci House - Luxury Guest House
info@bencihouse.com,,,Benci House - Luxury Guest House
benciart@bencihouse.com,,,Benci House - Luxury Guest House
info@letrelunefirenze.it,,,B&B Le tre Lune
palazzopanzani@gregorihotels.com,,,Palazzo Panzani
info@hotelgolf.it,,,Hotel Golf in Florence
info@villaroyalfirenze.com,,,Hotel Royal
info@hotelginorialduomo.com,,,Hotel Ginori al Duomo
anna@casa-thiele.com,,,Casa Thiele alla Signoria
patrizio.falorni@gmail.com,,,Residenza Falorni
bastilla_revisa_0k@icloud.com,,,Lovely Home San Niccolò
info@domoflorenzia.com,,,Guest House Domo Florenzia
info@hotelcalimala.com,,,Hotel Calimala
reservations@angelroofbar.com,,,Hotel Calimala
acasadililli@yahoo.com,,,A Casa di Lilli
bblatavernetta@libero.it,,,Bed & Breakfast La Tavernetta
info@palazzoltrarno.it,,,Palazzo D'Oltrarno - Residenza D'Epoca
